1-1	那是力争上游的一种树，笔直的干，笔直的枝。
1-2	它的干呢，通常是丈把高，
1-3	像是加以人工似的，一丈以内，绝无旁枝；
1-4	它所有的桠枝呢，一律向上，而且紧紧靠拢，
1-5	也像是加以人工似的，成为一束，绝无#1横斜逸出；
1-6	它的宽大的叶子#1也是片片向上，
1-7	几乎没有斜生的，更不用说#1倒垂了；
1-8	它的皮，光滑#1而有银色的晕圈，微微泛出淡青色。
1-9	这是虽在北方的风雪的压迫下#1却保持着倔强挺立的一种树！
1-10	哪怕只有碗来粗细罢，它却努力向上发展，高到丈许，
1-11	两丈，参天耸立，不折不挠，对抗着西北风。
1-12	这#2就是白杨树，西北极普通的一种树，
1-13	然而#1决不是平凡的树！
1-14	它没有婆娑的姿态，没有屈曲盘旋的虬枝，
1-15	也许#1你要说它不美丽，
1-16	如果美#1是专指“婆娑”#1或“横斜逸出”之类而言，
1-17	那么，白杨树算不得树中的好女子；
1-18	但是#1它却是伟岸，正直，朴质，严肃，
1-19	也不缺乏温和，更不用提#1它的坚强不屈与挺拔，
1-20	它是树中的伟丈夫！
1-21	当你在积雪初融的高原上走过，
1-22	看见平坦的大地上#1傲然挺立这么一株#1或一排白杨树，
1-23	难道你就只觉得#1树只是树，难道#1你就不想到它的朴质，
1-24	严肃，坚强不屈，至少#1也象征了北方的农民；
1-25	难道#1你竟一点儿也不联想到，在敌后的广大土地上，
1-26	到处#1有坚强不屈，
1-27	就像这白杨树一样#1傲然挺立的守卫他们家乡的哨兵！
1-28	难道#1你又不更远一点想到#1这样枝枝叶叶靠紧团结，
1-29	力求上进的白杨树，
1-30	宛然象征了#1今天在华北平原#1纵横决荡
1-31	用血#1写出新中国历史的#1那种精神和意志。
1-32	节选自#1茅盾#1《白杨礼赞》
2-0	作品2号#1《差别》
2-1	两个同龄的年轻人#1同时受雇于#1一家店铺，并且#1拿同样的薪水。
2-2	可是一段时间后，叫阿诺德的那个小伙子#1青云直上，
2-3	而那个叫布鲁诺的小伙子#1却仍在原地踏步。
2-4	布鲁诺很不满意#1老板的不公正待遇。
2-5	终于有一天#1他到老板那儿发牢骚了。
2-6	老板一边耐心地听着他的抱怨，
2-7	一边在心里盘算着#1怎样向他解释清楚#1他和阿诺德之间的差别。
2-8	“布鲁诺先生，”老板开口说话了，
2-9	“您现在到集市上去一下，看看今天早上有什么卖的。”
2-10	布鲁诺从集市上回来#1向老板汇报说，
2-11	今早集市上只有一个农民#1拉了一车土豆在卖。
2-12	“有多少？”老板问。
2-13	布鲁诺赶快戴上帽子#1又跑到集上，然后回来告诉老板#1一共四十袋土豆。
2-14	“价格是多少？”
2-15	布鲁诺又第三次跑到集上问来了价格。
2-16	“好吧，”老板对他说，
